"Time","Efficiency Monitor: Efficiency Monitor"
0.04,1.7734614245956764
0.08,1.763290204431845
0.12,1.7629907495924957
0.16,1.7617651507859344
0.2,1.7606541107471654
0.24000000000000002,1.7593247961448082
0.28,1.760133472608305
0.32,1.7595513015439375
0.36,1.760296214347554
0.39999999999999997,1.76116191337702
0.43999999999999995,1.7623606774777019
0.4799999999999999,1.7640381619414907
0.5199999999999999,1.7648961656682065
0.5599999999999999,1.7656027269289676
0.6,1.7662048609940042
0.64,1.7667825091648603
0.68,1.7661765213808271
0.7200000000000001,1.7657415960794594
0.7600000000000001,1.7647321198649732
0.8000000000000002,1.7637702789384109
0.8400000000000002,1.762097721088199
0.8800000000000002,1.7602646181593757
0.9200000000000003,1.7587119046983586
0.9600000000000003,1.7578950432064675
1.0000000000000002,1.755810115337778
1.0400000000000003,1.755762887781
1.0800000000000003,1.7558458883330756
1.1200000000000003,1.7564652108550278
1.1600000000000004,1.7575422534142102
1.2000000000000004,1.7587311176622558
1.2400000000000004,1.7592053816424398
1.2800000000000005,1.7614043038143965
1.3200000000000005,1.7630153468400136
1.3600000000000005,1.7636996771473863
1.4000000000000006,1.764279970750233
1.4400000000000006,1.764836130473758
1.4800000000000006,1.764375748555688
1.5200000000000007,1.7638554977940413
1.5600000000000007,1.7628117976644935
1.6000000000000008,1.7611402034710182
1.6400000000000008,1.7602792100318598
1.6800000000000008,1.7593381309687508
1.7200000000000009,1.7573351026471666
1.760000000000001,1.7562899530747647
1.800000000000001,1.7553314859039906
1.840000000000001,1.754772093568877
1.880000000000001,1.7551594750295447
1.920000000000001,1.7544291737876285
1.960000000000001,1.7560066875964293
2.000000000000001,1.7576505678204744
2.040000000000001,1.7588106678542383
2.080000000000001,1.7605276397665064
2.120000000000001,1.762151937695841
2.160000000000001,1.7630204378134264
2.200000000000001,1.764057983362065
2.240000000000001,1.7640650100423971
2.280000000000001,1.7641367769570875
2.320000000000001,1.763976453488077
2.360000000000001,1.7628561326243264
2.4000000000000012,1.7614464067766513
2.4400000000000013,1.760399822027314
2.4800000000000013,1.7582346984687045
2.5200000000000014,1.7568503240640214
2.5600000000000014,1.755749131222622
2.6000000000000014,1.7547150638789357
2.6400000000000015,1.7544991865175683
2.6800000000000015,1.7548725976730235
2.7200000000000015,1.7553628914926331
2.7600000000000016,1.75602533268984
2.8000000000000016,1.7573198530297964
2.8400000000000016,1.759306865313548
2.8800000000000017,1.760154538500358
2.9200000000000017,1.7616617484216395
2.9600000000000017,1.7629916405510777
3.0000000000000018,1.7639476614544791
3.040000000000002,1.763756056364414
3.080000000000002,1.7643175806378102
3.120000000000002,1.763646406265446
3.160000000000002,1.762677158861342
3.200000000000002,1.7609512653844277
3.240000000000002,1.7598180954018046
3.280000000000002,1.7586901735377354
3.320000000000002,1.7568779690029994
3.360000000000002,1.7557213252581945
3.400000000000002,1.7545572839843135
3.440000000000002,1.7541131957178209
3.480000000000002,1.7541252172823512
3.5200000000000022,1.7552050931728962
3.5600000000000023,1.7558942545335947
3.6000000000000023,1.7568958745973078
3.6400000000000023,1.7591275550092262
3.6800000000000024,1.7601675493414448
3.7200000000000024,1.762108780539279
3.7600000000000025,1.762922691497706
3.8000000000000025,1.7630205466327729
3.8400000000000025,1.7642624613108542
3.8800000000000026,1.7636803622236854
3.9200000000000026,1.7636818125647835
3.9600000000000026,1.7622194654393624
4.000000000000003,1.7609857164153748
4.040000000000003,1.7601459388102403
4.080000000000003,1.7585699540396278
4.120000000000003,1.7573265884484546
4.160000000000003,1.7555705781879336
4.200000000000003,1.7543363897939275
4.240000000000003,1.7541685924811812
4.280000000000003,1.7545290382178427
4.320000000000003,1.755318524860494
4.360000000000003,1.7560496601658644
4.400000000000003,1.757455325997358
4.440000000000003,1.7588732282084958
4.480000000000003,1.7606649716689617
4.520000000000003,1.7617618869510085
4.560000000000003,1.7633349806975762
